task_index,instruction,scoring_points
mihonapp#mihon#2345,"In the mihon app, the app would crash when the user tapped the filter button (opened the filter sheet) while their library/favorites was empty. This happened from the library screen when there were no items or categories to operate on. Your task is to identify the root cause component and reason: which file or module contained the bug, and what went wrong (the underlying programming mistake or missing guard) that caused the crash.","The predicted root cause component is app/src/main/java/eu/kanade/tachiyomi/ui/library/LibraryScreenModel.kt (module: eu.kanade.tachiyomi.ui.library.LibraryScreenModel). The predicted root cause reason is accessing the active category without handling an empty category list (out-of-bounds / missing null check on activeCategory), causing a crash when the library has no categories/items."
mihonapp#mihon#2081,"In the mihon app, there was an intermittent crash where the app would unexpectedly terminate after being open for some time and while interacting with the UI (for example during screen transitions or animations such as when using a date selection UI). Your task is to identify the root cause component and reason that led to this crash: determine which file or module was changed to fix the problem and explain the underlying reason why the app was crashing (what went wrong).",The predicted root cause component is gradle/libs.versions.toml (the voyager library dependency / voyager module version). The predicted root cause reason is a bug in the older voyager library version's lifecycle handling which attempted an invalid lifecycle state transition on a destroyed screen lifecycle owner (causing an IllegalStateException); updating the voyager dependency to a newer version resolved the issue.
mihonapp#mihon#2035,"In the mihon app, there was a crash when attempting to change the source sort order from the filters menu while browsing a source (for example, Pixiv). Your task is to identify the root cause component and reason: which file/module contains the defect, and what went wrong that allowed this crash to occur.","The predicted root cause component is app/src/main/java/eu/kanade/tachiyomi/ui/browse/source/browse/SourceFilterDialog.kt (Module: eu.kanade.tachiyomi.ui.browse.source.browse.SourceFilterDialog). The predicted root cause reason is a missing null-handling for the filter state (dereferencing filter.state / using filter.state!! when there is no pre-selection), leading to a NullPointerException or invalid state access when no prior selection exists."
thunderbird#thunderbird-android#9644,In thunderbird-android there was a crash when a user opened the app after it had been backgrounded and tapped a newly shown expandable “[gmail]” placeholder folder in the navigation drawer. The placeholder appears where normal Gmail folders normally are; tapping that placeholder causes the app to crash. Your task is to identify the root cause component and reason that led to this crash.,"The predicted root cause component is feature/navigation/drawer/dropdown/src/main/kotlin/net/thunderbird/feature/navigation/drawer/dropdown/domain/usecase/GetDisplayTreeFolder.kt (Module: net.thunderbird.feature.navigation.drawer.dropdown.domain.usecase.GetDisplayTreeFolder).  The predicted root cause reason is that placeholder folders were created with a non-null placeholder accountId (and the display entity expected a valid account id), so click handling treated the placeholder as a real account folder and attempted to open it — a missing/nullability guard / incorrect placeholder account id handling caused the crash."
thunderbird#thunderbird-android#9453,"In the Thunderbird for Android app, after installing the latest beta the app crashes on startup and cannot be opened. Opening the app immediately triggers the failure. Your task is to identify the root cause component and reason that caused this startup crash: specify the file/module where the bug originates and explain what went wrong (the underlying programming/state error) that led to the app failing on start.","The predicted root cause component is legacy/ui/legacy/src/main/java/com/fsck/k9/ui/messagelist/MessageListSwipeCallback.kt (Module: com.fsck.k9.ui.messagelist.MessageListSwipeCallback). The predicted root cause reason is missing handling for a 'None' swipe action: the code attempted to create a SwipeActionConfig for accounts whose swipe action was SwipeAction.None, which led to an IllegalStateException / crash (state not filtered/validated before creating the config)."
thunderbird#thunderbird-android#9318,"In thunderbird-android, the app crashes when the device orientation is changed (rotating the phone between portrait and landscape). This happens as the app attempts to update the UI (navigation drawer / message list) after rotation and results in an immediate crash instead of completing the orientation change. Your task is to identify the root cause component and reason: which file or module was responsible for the crash, and what went wrong that allowed the crash to occur.",The predicted root cause component is legacy/ui/legacy/src/main/java/com/fsck/k9/activity/MessageList.kt (Module: com.fsck.k9.activity.MessageList). The predicted root cause reason is a NullPointerException caused by accessing nullable properties (account and/or search) without null checks in configureDrawer() during orientation changes (missing null checks / unsafe use of non-null assertions).
thunderbird#thunderbird-android#9236,"In thunderbird-android, there was a formatting bug when replying to messages with the ""Reply quoting style"" set to ""Header (like Outlook)"". When composing a reply the header block showed the Sent line correctly, but the From, To and Subject values were printed on the next line with an extra blank line after each, instead of appearing on the same line as their labels and with the next line immediately following. Your task is to identify the root cause component and reason that led to this incorrect header formatting.","The predicted root cause component is legacy/core/src/main/java/com/fsck/k9/message/quote/HtmlQuoteCreator.java (Module: com.fsck.k9.message.quote.HtmlQuoteCreator). The predicted root cause reason is that the header generation used a block-level HTML element (DIV) for the quoted header, which introduced unwanted newlines/blank lines; the fix changes the generator to use an inline element (SPAN) via the HTML converter to prevent those extra line breaks."
thunderbird#thunderbird-android#9212,"In thunderbird-android (K-9 Mail), there was a bug where non-English folder names (for example Cyrillic names) appeared as ""?"" symbols in the folder list after creating an account and opening the folder list. The incorrect characters showed up in the UI instead of the expected folder names. Your task is to identify the root cause component and reason","The predicted root cause component is mail/protocols/imap/src/main/java/com/fsck/k9/mail/store/imap/ImapResponseParser.java (Module: com.fsck.k9.mail.store.imap.ImapResponseParser). The predicted root cause reason is that IMAP literal data containing UTF-8 bytes was interpreted/decoded as US-ASCII (missing/incorrect handling of UTF-8 for literals), causing non-ASCII characters to be corrupted and displayed as question marks."
thunderbird#thunderbird-android#9194,"In thunderbird-android, users reported that after adding a Fastmail account (via OAuth), enabling notifications and push sync, and allowing background power, the app would work for a few hours but then show an ""Authentication failed"" notification and repeatedly prompt the user to re-login. Your task is to identify the root cause component and reason that led to these repeated authentication failures and token expiry behavior.","The predicted root cause component is mail/protocols/smtp/src/main/java/com/fsck/k9/mail/transport/smtp/SmtpTransport.kt (module: com.fsck.k9.mail.transport.smtp) together with the OAuth provider interface and implementation changes in mail/common/src/main/java/com/fsck/k9/mail/oauth/OAuth2TokenProvider.kt (module: com.fsck.k9.mail.oauth) and legacy/common/src/main/java/com/fsck/k9/backends/RealOAuth2TokenProvider.kt (module: com.fsck.k9.backends.RealOAuth2TokenProvider). The predicted root cause reason is a username mismatch / missing primary-email handling for OAuth XOAUTH2 authentication: the code used the account's entered username instead of the primary email extracted from the id_token (the OAuth provider), so authentication was rejected and tokens were invalidated prematurely (i.e., missing/incorrect handling of primaryEmail in the token provider and SMTP auth flow)."
thunderbird#thunderbird-android#8138,"In thunderbird-android, importing settings from another mail app failed: when starting with a fresh profile and choosing Settings → Import → Import from app → K-9 Mail, the import failed and the UI showed “Failed to read settings file”. Your task is to identify the root cause component and reason that allowed this failure to occur (which file/module is responsible and what went wrong).","The predicted root cause component is feature/settings/import/src/main/kotlin/app/k9mail/feature/settings/import/ui/ImportAppFetcher.kt (Module: app.k9mail.feature.settings.import.ui.ImportAppFetcher). The predicted root cause reason is that the code did not check/apply minimum-version compatibility for supported apps (missing version compatibility check / missing logic to mark/disable apps that are too old), so the app attempted to import from an older app that doesn't support exporting settings, causing the import to fail."
